256 bit delayed
Ten Fold with Depth 4, initial sobolIdx 1, delay 1.
Ten Fold with Depth 1, initial sobolIdx 3, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9695, 0.738, 255.669
  1, 10031, 0.281, 255.435
  2, 10095, 0.269, 255.557
  3,  9757, 0.207, 255.424
  4, 10109, 0.160, 255.051
  5, 10208, 0.120, 254.549
  6, 10080, 0.096, 253.490
  7,  9997, 0.081, 250.327
  8, 10122, 0.071, 243.728
  9,  9525, 0.047, 198.117
 10,   381, 0.070, 154.625

Ten Fold with Depth 1, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9636, 0.661, 255.628
  1,  9996, 0.340, 255.720
  2, 10024, 0.254, 255.645
  3,  9845, 0.202, 255.218
  4,  9918, 0.151, 254.472
  5, 10237, 0.125, 254.158
  6, 10092, 0.105, 253.326
  7, 10184, 0.078, 250.627
  8, 10013, 0.056, 241.668
  9,  9647, 0.036, 203.578
 10,   408, 0.048, 142.157

Ten Fold with Depth 1, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9745, 0.718, 255.259
  1,  9938, 0.288, 255.678
  2, 10152, 0.246, 255.575
  3,  9885, 0.228, 255.835
  4,  9999, 0.189, 255.696
  5, 10186, 0.145, 255.209
  6, 10025, 0.116, 254.232
  7,  9890, 0.086, 250.286
  8, 10108, 0.063, 244.576
  9,  9687, 0.039, 202.565
 10,   385, 0.070, 150.787

Ten Fold with Depth 1, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9603, 1.139, 254.585
  1, 10006, 0.381, 254.893
  2, 10208, 0.231, 255.302
  3, 10028, 0.157, 255.298
  4,  9847, 0.158, 255.088
  5, 10218, 0.142, 254.514
  6, 10051, 0.125, 253.764
  7,  9912, 0.104, 251.152
  8, 10099, 0.072, 240.098
  9,  9646, 0.040, 194.557
 10,   382, 0.074, 141.929

Ten Fold with Depth 1, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9681, 0.716, 255.360
  1, 10061, 0.429, 255.816
  2,  9991, 0.273, 255.736
  3, 10058, 0.206, 255.571
  4,  9911, 0.150, 253.180
  5, 10127, 0.125, 252.762
  6, 10111, 0.121, 252.931
  7,  9795, 0.095, 247.332
  8, 10041, 0.065, 232.646
  9,  9791, 0.038, 195.314
 10,   433, 0.081, 141.875

Ten Fold with Depth 1, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9343, 0.594, 255.079
  1, 10114, 0.356, 255.513
  2, 10106, 0.223, 255.539
  3, 10012, 0.162, 255.569
  4,  9964, 0.149, 255.467
  5, 10109, 0.138, 255.076
  6,  9969, 0.111, 253.699
  7, 10022, 0.084, 252.077
  8, 10261, 0.056, 239.568
  9,  9720, 0.036, 199.134
 10,   380, 0.050, 142.418

Ten Fold with Depth 1, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,  9576, 1.204, 255.309
