Ten Fold with Depth 4, initial sobolIdx 1, delay 0.
  4,  9103, 0.102, 255.162
  5, 11444, 0.092, 255.439
  6, 12969, 0.069, 255.090
  7, 14799, 0.048, 250.468
  8, 16857, 0.017, 180.397
  9, 18852, 0.050, 244.635
 10,   394, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 4, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   804, 2.899, 256.000
  1,  3114, 1.349, 256.000
  2,  4979, 0.961, 256.000
  3,  6623, 0.471, 256.000
  4,  8914, 0.293, 256.000
  5, 11223, 0.185, 256.000
  6, 13023, 0.092, 255.766
  7, 14769, 0.052, 249.647
  8, 17278, 0.019, 164.698
  9, 18866, 0.028, 229.498
 10,   407, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 5, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   793, 2.922, 256.000
  1,  3043, 1.017, 256.000
  2,  5165, 0.292, 256.000
  3,  6624, 0.172, 256.000
  4,  9030, 0.141, 255.703
  5, 11457, 0.166, 256.000
  6, 12691, 0.116, 255.313
  7, 14869, 0.067, 246.061
  8, 17360, 0.031, 169.718
  9, 18542, 0.020, 220.920
 10,   426, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 6, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   788, 2.785, 256.000
  1,  3084, 1.176, 256.000
  2,  5107, 0.469, 256.000
  3,  6744, 0.402, 256.000
  4,  9040, 0.280, 256.000
  5, 11238, 0.157, 256.000
  6, 12957, 0.062, 253.675
  7, 14957, 0.071, 246.969
  8, 17031, 0.021, 115.381
  9, 18661, 0.038, 178.310
 10,   393, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   745, 2.881, 256.000
  1,  3069, 1.028, 256.000
  2,  5190, 0.355, 256.000
  3,  6532, 0.145, 256.000
  4,  9083, 0.081, 240.296
  5, 11395, 0.017, 242.832
  6, 12967, 0.052, 249.540
  7, 14853, 0.053, 237.537
  8, 17082, 0.017, 127.534
